Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
1,8752,2638958.18,4,4,4,12
326,17,-64.67999999999302,2,4,1,7
2,8,5633.32,4,3,4,11
75,5,2019.4,3,3,3,9
19,5,4404.54,4,3,4,11
310,1,334.4,2,1,2,5
375,1,300.93,2,1,1,4
36,13,1889.21,3,4,3,10
204,2,406.76,2,1,2,5
232,1,1079.4,2,1,3,6
214,2,947.61,2,1,3,6
23,6,6373.68,4,3,4,11
33,3,18287.66,3,2,4,9
2,5,3887.07,4,3,4,11
8,14,8714.89,4,4,4,12
52,9,4212.89,3,4,4,11
287,4,511.25,2,2,2,6
3,14,5284.58,4,4,4,12
110,2,552.0,2,1,2,5
8,4,1313.1,4,2,3,9
291,3,320.69,2,2,1,5
634,1,500.24,1,1,2,4
4,1,168.9,4,1,1,6
628,1,917.6999999999999,1,1,3,5
413,3,1791.15,1,2,3,6
51,7,4320.31,3,3,4,10
45,5,4067.38,3,3,4,10
72,3,1298.04,3,2,3,8
311,3,1127.65,2,2,3,7
25,4,2989.2200000000003,4,2,4,10
3,3,455.42,4,2,2,8
390,2,503.15,1,1,2,4
315,4,3426.32,2,2,4,8
130,2,5416.32,2,1,4,7
82,5,1618.27,3,3,3,9
22,15,7888.0,4,4,4,12
5,6,1803.96,4,3,3,10
682,1,-18.38,1,1,1,3
185,6,1839.31,2,3,3,8
29,3,566.16,3,2,2,7
379,2,1923.4,2,1,3,6
338,2,660.8,2,1,2,5
415,1,143.94,1,1,1,3
16,8,3901.11,4,3,4,11
403,3,1433.33,1,2,3,6
80,1,549.84,3,1,2,6
22,7,2747.82,4,3,4,11
591,1,234.75000000000003,1,1,1,3
72,7,2376.75,3,3,4,10
64,2,1272.48,3,1,3,7
16,18,5046.92,4,4,4,12
674,1,931.43,1,1,3,5
36,2,2409.9,3,1,4,8
46,1,1635.6599999999999,3,1,3,7
119,7,1962.3,2,3,3,8
414,1,205.25,1,1,1,3
303,1,84.3,2,1,1,4
323,7,1244.15,2,3,3,8
50,3,1001.36,3,2,3,8
682,1,63.24,1,1,1,3
149,1,1710.39,2,1,3,6
22,7,6072.21,4,3,4,11
50,5,1708.1200000000001,3,3,3,9
33,14,4279.64,3,4,4,11
79,13,23090.47,3,4,4,11
301,4,1001.46,2,2,3,7
410,1,346.9,1,1,2,4
75,8,2581.03,3,3,4,10
67,6,935.5,3,3,3,9
217,8,692.41,2,3,2,7
24,33,143269.29,4,4,4,12
657,1,202.56,1,1,1,3
3,27,6708.21,4,4,4,12
113,5,2016.95,2,3,3,8
386,2,503.01,1,1,2,4
64,1,600.39,3,1,2,6
16,8,1092.83,4,3,3,10
96,21,4119.35,3,4,4,11
1,11,2612.19,4,4,4,12
163,7,3289.78,2,3,4,9
78,3,1680.81,3,2,3,8
195,3,1311.41,2,2,3,7
12,5,1011.87,4,3,3,10
26,12,7877.2,3,4,4,11
9,9,7435.51,4,4,4,12
43,1,256.4,3,1,1,5
36,33,10719.41,3,4,4,11
43,5,5059.32,3,3,4,10
1,11,20428.86,4,4,4,12
85,5,1062.48,3,3,3,9
80,6,13925.93,3,3,4,10
100,1,509.01,2,1,2,5
2,47,12394.85,4,4,4,12
14,2,2906.85,4,1,4,9
683,3,1104.48,1,2,3,6
457,3,768.15,1,2,2,5
367,1,347.1,2,1,2,5
3,1,172.06,4,1,1,6
732,1,485.31,1,1,2,4
21,5,5005.46,4,3,4,11
22,3,426.48,4,2,2,8
58,1,1002.3100000000001,3,1,3,7
243,1,476.49,2,1,2,5
44,1,449.45,3,1,2,6
22,6,4835.89,4,3,4,11
156,7,666.95,2,3,2,7
11,10,12546.53,4,4,4,12
17,3,428.57,4,2,2,8
134,1,707.09,2,1,2,5
53,9,4292.71,3,4,4,11
73,10,5879.95,3,4,4,11
44,4,3153.89,3,2,4,9
58,14,2472.31,3,4,4,11
71,4,1777.49,3,2,3,8
605,1,454.36,1,1,2,4
456,1,326.65,1,1,2,4
94,2,826.88,3,1,2,6
2,4,1124.01,4,2,3,9
46,7,1303.63,3,3,3,9
10,8,1212.05,4,3,3,10
8,3,733.89,4,2,2,8
682,1,56.73,1,1,1,3
386,2,0.0,1,1,1,3
143,10,3624.55,2,4,4,10
523,2,3070.54,1,1,4,6
690,1,211.95,1,1,1,3
2,129,37948.61,4,4,4,12
31,37,16956.69,3,4,4,11
29,9,2848.23,3,4,4,11
17,54,11966.45,4,4,4,12
54,2,1149.64,3,1,3,7
1,38,13715.62,4,4,4,12
23,12,20173.64,4,4,4,12
4,1,680.99,4,1,2,7
4,3,477.3,4,2,2,8
28,8,5435.1,3,3,4,10
23,18,12217.03,4,4,4,12
450,32,21893.53,1,4,4,9
17,27,4846.87,4,4,4,12
33,16,6303.85,3,4,4,11
529,1,708.1,1,1,2,4
432,1,1037.28,1,1,3,5
731,2,259.79999999999995,1,1,1,3
10,3,1298.66,4,2,3,9
336,1,334.93,2,1,2,5
5,22,9818.64,4,4,4,12
39,1,460.40000000000003,3,1,2,6
63,3,715.21,3,2,2,7
166,3,416.79,2,2,2,6
10,17,1743.52,4,4,3,11
635,2,323.4,1,1,1,3
620,2,54.09,1,1,1,3
82,4,6211.75,3,2,4,9
21,3,403.70000000000005,4,2,2,8
560,1,393.72,1,1,2,4
23,25,5872.31,4,4,4,12
315,2,2089.68,2,1,3,6
96,5,3723.87,3,3,4,10
338,2,0.0,2,1,1,4
18,6,411.0,4,3,2,9
301,3,908.0,2,2,3,7
233,1,73.5,2,1,1,4
134,5,1797.31,2,3,3,8
26,2,398.27,3,1,2,6
